id,platce,platce_ico,dodavatel,dodavatel_ico,hodnota_czk,datum,rok,predmet,je_skola
36353417,"Základní škola JIH, Mariánské Lázně, Komenského 459, příspěvková organizace",47723505,"Základní škola JIH, Mariánské Lázně, Komenského 459, příspěvková organizace",47723505,67450.0,2025-11-26,2025,Objednávka - židle do třídy,True
36351973,"Střední zemědělská škola a Střední odborné učiliště Čáslav, příspěvková organizace",49797999,"KOVO, výrobní družstvo",00030325,358954.0,2026-01-12,2026,"vybavení učebny - katedra, židle, lavice pro žáky,skříně, vnitřní rolety,vitríny,poloh.stůl",True
36343445,"Střední škola prof. Zdeňka Matějčka, Ostrava-Poruba, příspěvková organizace",13644319,AZ-PROŠKOLY s.r.o.,14341280,71432.0,2026-01-08,2026,Výroba montáž nábytku,True
36335405,"Základní škola, Tanvald, Údolí Kamenice 238, příspěvková organizace",60254238,NÁBYTEK HONZA s.r.o.,27198821,188084.29,2025-12-23,2025,Nábytek Honza - ZS Tanvald - Nákup školního nábytku,True
36333437,Město Uherský Brod,00291463,WRDATACENTRUM s.r.o.,07048831,607932.0,2026-01-09,2026,Smlouva na implementaci virtuální reality do škol v Uherském Brodě - dodávka software k virtuální realitě,False
36330985,"Střední škola, Havířov-Prostřední Suchá, příspěvková organizace",13644271,"TC servis, s.r.o.",25533673,1408861.82,2026-01-09,2026,Smlouva o dílo - Smlouva o dílo &quot;Konektivita budovy&quot;,True
36327909,"Základní škola JIH, Mariánské Lázně, Komenského 459, příspěvková organizace",47723505,"Základní škola JIH, Mariánské Lázně, Komenského 459, příspěvková organizace",47723505,80553.49,2025-11-27,2025,Objednávka - nábytek do sborovny ŠD,True
36317977,"Základní škola Žatec, Komenského alej 749, okres Louny",61357421,Jan Vondráček,75440857,147400.0,2025-12-10,2025,Objednávka č. 34 - nábytek do kanceláře č.26,True
36317861,Město Žďár nad Sázavou,00295841,Trigema Building a.s.,27653579,88632537.0,2025-12-29,2025,Smlouva o dílo - smlouva o zabezpečení vyprojektování a realizace stavby s názvem Bytový dům na ul. Dr. Drože,False
36317757,Město Blatná,00250996,Svaz měst a obcí Jihočeského kraje,68543727,132903.38,2025-12-31,2025,Smlouva o výpůjčce v rámci projektu &amp;quot;Pořízení kompostérů a štěpkovačů pro domácí kompostování&amp;quot;,False
36313757,"Fakultní základní škola Komenium a Mateřská škola Olomouc, 8. května 29, příspěvková organizace",70631018,"Fakultní základní škola Komenium a Mateřská škola Olomouc, 8. května 29, příspěv",70631018,92800.0,2025-12-10,2025,nábytek do zázemí ,True
36309405,Univerzita Tomáše Bati ve Zlíně,70883521,"QUERCUS NÁBYTEK,s.r.o.",47917601,775853.0,2026-01-07,2026,Kupní smlouva - MILAN - nábytek kusový 14/2025 pro Fakultu multimediálních komunikací ,False
36300421,"Základní škola JIH, Mariánské Lázně, Komenského 459, příspěvková organizace",47723505,"Základní škola JIH, Mariánské Lázně, Komenského 459, příspěvková organizace",47723505,117102.0,2025-12-23,2025,"Objednávka - nábytek do třídy, lavice, tabule",True
36296697,Základní umělecká škola Zábřeh,64095151,AVT Group a.s.,01691988,11357707.0,2025-05-14,2025,"Smlouva o dílo ""Pořízení digitálních technologií pro výuku v ZUŠ Zábřeh"" - provedení stavebních a montážních prací včetn",True
36292805,"Střední zemědělská škola a Střední odborné učiliště Čáslav, příspěvková organizace",49797999,Maso Čáslav s.r.o.,26493268,3000000.0,2026-01-07,2026,ubytování zaměstnanců firmy,True
36277037,"Střední škola řemeslná a Základní škola, Soběslav",72549572,Nábytek VASA spol. s r.o.,48204749,61232.5,2026-01-06,2026,"Objednávka, dodávka a montáž nábytku do dvou kanceláří školy ulice Wilsonova 405.",True
36273309,"Základní škola JIH, Mariánské Lázně, Komenského 459, příspěvková organizace",47723505,"Základní škola JIH, Mariánské Lázně, Komenského 459, příspěvková organizace",47723505,93587.01,2025-12-19,2025,Objednávka - nábytek do kabinetu Inf,True
36252065,Univerzita Palackého v Olomouci,61989592,"MERCI, s.r.o.",46966447,101680.0,2025-12-18,2025,"Objednávka: 4531084767 Skříňky pod digestoř, včetně montáže a dopravy",False
36234493,"2. mateřská škola, Most, příspěvková organizace",72742364,KLIMI TOYS s.r.o.,07193602,73090.91,2025-12-15,2025,"Objednávka č. 17  2025, nábytek - stoly a různé skříňky pro děti na odloučené pracoviště 2. mateřské školy, Most, příspě",True
36211349,"5. základní škola Cheb, Matěje Kopeckého 1, příspěvková organizace",70987459,"JP-KONTAKT, s.r.o.",25922378,66040.0,2025-12-18,2025,Kancelářský nábytek,True
36190933,Střední průmyslová škola stavební akademika Stanislava Bechyně Havlíčkův Brod,60126698,Nábytek Jelen s.r.o.,08785198,314739.0,2025-12-19,2025,Výroba a dodávka nábytku do kabinetu a skladu,True
36186505,Střední odborná škola požární ochrany a Vyšší odborná škola požární ochrany,64122654,AUDIOPRO s.r.o.,26702371,2948596.0,2025-12-22,2025,Audiovizuální technika_sál Brno_AUDIOPRO,True
36179121,"Základní škola a Mateřská škola Mladá Boleslav, 17. listopadu 1325, příspěvková organizace",75034077,AZ-PROŠKOLY s.r.o.,14341280,212100.0,2025-12-18,2025,Objednávka - nábytek do učebny,True
36164285,"Základní škola a Mateřská škola Vyškov, Letní pole, příspěvková organizace",46270981,MULTIP Moravia s.r.o.,16627971,80606.61,2025-12-16,2025,Dodávka nábytku do učebny přírodopisu,True
