izo,lat,lon
102531099,49.2962467,17.3938553
102142262,49.2997871,17.3915246
102519951,49.3286909,17.572632
102531064,49.4039604,17.6657637
102519986,49.3006481,17.379552
107870878,49.3017047,17.4026978
102531021,49.3014859,17.383001
110012569,49.5937963,16.8875475
110012577,49.5937963,16.8875475
103019715,49.4802878,17.1004979
103031651,49.4721487,17.1270251
103031642,49.4716511,17.1074192
103019731,49.4789904,17.1142314
108030814,49.4701417,17.1124424
181066939,49.4700855,17.1122012
047921838,49.4749213,17.1101883
110015037,49.4720606,17.1141758
110012186,49.4689662,17.1250087
110012216,49.4679092,17.1162297
110012224,49.4679092,17.1162297
110015061,49.469414,17.1184498
044065663,49.2138955,15.885973
044065485,49.0508174,15.814281
000559237,49.2146742,15.8809655
110012283,49.208114,15.8867499
000566900,49.2229745,15.8671343
000055069,49.0528207,15.8113769
000559628,49.2072599,15.894283
000559644,49.0658688,17.4623775
060371684,49.0710402,17.4628436
060371749,49.0640836,17.4667151
000055107,49.0291463,17.6415138
000838811,49.040635,17.8069163
047353872,49.0668551,17.4478213
060371731,49.0670668,17.4591972
060371757,49.0231743,17.6448822
014450437,49.0027626,17.650605
110500148,49.0804938,17.438305
060370009,49.0295076,17.4682625
110012305,49.0668551,17.4478213
060370505,49.0686588,17.4806364
102807655,49.2787367,16.9963749
102807647,49.1494108,17.0028292
107871173,49.2862604,17.0023146
102867097,48.8563286,16.0528946
107870959,48.8481041,16.069945
102867071,49.0498981,16.3094989
107870932,48.8554341,16.0489457
102867135,48.8563536,16.0459459
107870941,49.0979013,16.37403
110012364,48.8658847,16.0444112
108027457,49.5675742,15.9331527
102943508,49.3516738,16.020545
102943524,49.35614,15.9957625
110020553,49.5675742,15.9331527
102943541,49.5227713,16.2525563
102943494,49.5637575,16.0726538
102943516,49.5650582,15.9440925
102943559,49.5552108,15.931423
102943486,49.5177151,16.2582338
110026179,49.5664294,15.9321395
000601349,50.0939851,17.7012938
000601357,49.9898676,17.4625588
108012484,50.0908688,17.71337
000601292,50.0904401,17.693835
107880351,50.0874913,17.7116263
000601322,49.9898238,17.4662
000601331,49.9345907,17.2655108
107880610,50.1606313,17.575225
102020221,50.1660876,17.5744988
107880792,49.996215,17.4738313
000846881,49.6855718,18.3608173
110022289,49.6855718,18.3608173
000601403,49.5933188,18.3548963
000601390,49.6731888,18.6745763
013644301,49.6827988,18.3411813
000601411,49.6741813,18.338245
000601381,49.6727,18.3498063
045235708,49.6734228,18.3397133
110012291,49.6756126,18.6669875
045235686,49.6732713,18.3393325
049562339,49.7803963,18.2669059
060784024,49.6827988,18.3411813
060801743,49.6845263,18.3539075
060058871,49.8282744,18.2491037
000601527,49.905655,18.3637025
000601578,49.7420513,18.6155138
000601543,49.7854826,18.425015
000601535,49.8641738,18.52999
000601560,49.7436881,18.6256577
107880245,49.7951476,18.409105
000601519,49.8724656,18.4250057
000601489,49.7718563,18.4501275
000601501,49.7798413,18.4382688
060784733,49.8766788,18.428165
045162654,49.8440471,18.3153062
060337320,49.7412688,18.6141588
046580336,49.8646627,18.5509331
250003074,49.8646627,18.5509331
110017854,49.8958672,18.5477896
110025172,49.8666138,18.4435788
041691202,49.7770301,18.452215
110036611,49.8953825,18.346525
000601497,49.8619065,18.5501421
000601551,49.7758188,18.4602325
061988278,49.2207688,17.6631796
102244952,49.6403407,18.1403371
102244944,49.5445188,18.2052027
102244936,49.75931,18.0189488
107880377,49.5915407,18.1516935
108046141,49.7156388,18.0558588
102244928,49.5943373,18.0038419
102113611,49.6659414,17.8290523
107880369,49.5883609,18.0237612
107880873,49.6649563,17.8263813
102113556,49.7852454,18.1338837
110025580,49.5895913,17.9974319
000601799,49.6023768,17.2385017
000848956,49.5784838,17.2357395
000601781,49.5999766,17.2722293
000601764,49.7319976,17.3005975
000601756,49.7671522,17.1214437
110300572,49.6107046,17.2610931
000848794,49.732975,17.298705
000601748,49.5946786,17.2643213
014585235,49.6050498,17.2800969
061942839,49.9370113,17.9003925
000577448,49.5890111,17.2713411
000601730,49.7690713,17.1196963
000848875,49.7089513,17.0756213
013643606,49.5807374,17.2586467
000601721,49.5942,17.2460442
